                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:addi    |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lui     |   4:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:addi    |   8:lui     |   4:addi    |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:mul     |  12:addi    |   8:lui     |   4:addi    |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:sw      |  16:mul     |  12:addi    |   8:lui     |   4:addi    r6=0  BUS_LOAD  MEM[16] accepted 1
    5:   24:lw      |  20:sw      |  16:mul     |  12:addi    |   8:lui     r2=4096  BUS_LOAD  MEM[16] accepted 1
    6:   28:sw      |  24:lw      |  20:sw      |  16:mul     |  12:addi    r31=10  BUS_LOAD  MEM[24] accepted 1
    7:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=0  BUS_STORE MEM[4096] = 0 accepted 1
    8:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4096] accepted 1
    9:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=0  BUS_LOAD  MEM[24] accepted 1
   10:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4352] = 0 accepted 1
   11:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   12:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   13:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4104  BUS_LOAD  MEM[40] accepted 1
   14:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   15:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=1  BUS_LOAD  MEM[48] accepted 1
   16:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
   17:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
   18:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   19:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   20:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
   21:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=10  BUS_STORE MEM[4104] = 10 accepted 1
   22:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4104] accepted 1
   23:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=10  BUS_LOAD  MEM[24] accepted 1
   24:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4360] = 10 accepted 1
   25:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   26:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   27:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4112  BUS_LOAD  MEM[40] accepted 1
   28:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   29:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=2  BUS_LOAD  MEM[48] accepted 1
   30:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
   31:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
   32:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   33:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   34:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
   35:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=20  BUS_STORE MEM[4112] = 20 accepted 1
   36:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4112] accepted 1
   37:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=20  BUS_LOAD  MEM[24] accepted 1
   38:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4368] = 20 accepted 1
   39:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   40:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   41:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4120  BUS_LOAD  MEM[40] accepted 1
   42:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   43:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=3  BUS_LOAD  MEM[48] accepted 1
   44:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
   45:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
   46:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   47:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   48:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
   49:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=30  BUS_STORE MEM[4120] = 30 accepted 1
   50:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4120] accepted 1
   51:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=30  BUS_LOAD  MEM[24] accepted 1
   52:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4376] = 30 accepted 1
   53:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   54:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   55:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4128  BUS_LOAD  MEM[40] accepted 1
   56:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   57:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=4  BUS_LOAD  MEM[48] accepted 1
   58:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
   59:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
   60:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   61:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   62:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
   63:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=40  BUS_STORE MEM[4128] = 40 accepted 1
   64:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4128] accepted 1
   65:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=40  BUS_LOAD  MEM[24] accepted 1
   66:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4384] = 40 accepted 1
   67:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   68:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   69:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4136  BUS_LOAD  MEM[40] accepted 1
   70:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   71:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=5  BUS_LOAD  MEM[48] accepted 1
   72:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
   73:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
   74:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   75:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   76:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
   77:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=50  BUS_STORE MEM[4136] = 50 accepted 1
   78:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4136] accepted 1
   79:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=50  BUS_LOAD  MEM[24] accepted 1
   80:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4392] = 50 accepted 1
   81:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   82:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   83:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4144  BUS_LOAD  MEM[40] accepted 1
   84:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   85:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=6  BUS_LOAD  MEM[48] accepted 1
   86:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
   87:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
   88:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   89:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
   90:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
   91:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=60  BUS_STORE MEM[4144] = 60 accepted 1
   92:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4144] accepted 1
   93:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=60  BUS_LOAD  MEM[24] accepted 1
   94:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4400] = 60 accepted 1
   95:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
   96:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
   97:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4152  BUS_LOAD  MEM[40] accepted 1
   98:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
   99:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=7  BUS_LOAD  MEM[48] accepted 1
  100:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
  101:   16:mul     |   0:-       |   0:-       |   0:-       |  44:bne     BUS_LOAD  MEM[8] accepted 1
  102:   20:sw      |  16:mul     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  103:   24:lw      |  20:sw      |  16:mul     |   0:-       |   0:-       BUS_LOAD  MEM[16] accepted 1
  104:   28:sw      |  24:lw      |  20:sw      |  16:mul     |   0:-       BUS_LOAD  MEM[24] accepted 1
  105:   32:-       |  28:sw      |  24:lw      |  20:sw      |  16:mul     r3=70  BUS_STORE MEM[4152] = 70 accepted 1
  106:   32:-       |  28:sw      |   0:-       |  24:lw      |  20:sw      BUS_LOAD  MEM[4152] accepted 1
  107:   32:addi    |  32:-       |  28:sw      |   0:-       |  24:lw      r4=70  BUS_LOAD  MEM[24] accepted 1
  108:   36:-       |  32:addi    |  32:-       |  28:sw      |   0:-       BUS_STORE MEM[4408] = 70 accepted 1
  109:   36:addi    |  36:-       |  32:addi    |  32:-       |  28:sw      BUS_LOAD  MEM[32] accepted 1
  110:   40:slti    |  36:addi    |  36:-       |  32:addi    |  32:-       BUS_LOAD  MEM[32] accepted 1
  111:   44:bne     |  40:slti    |  36:addi    |  36:-       |  32:addi    r2=4160  BUS_LOAD  MEM[40] accepted 1
  112:   48:wfi     |  44:bne     |  40:slti    |  36:addi    |  36:-       BUS_LOAD  MEM[40] accepted 1
  113:   52:invalid |  48:wfi     |  44:bne     |  40:slti    |  36:addi    r6=8  BUS_LOAD  MEM[48] accepted 1
  114:   56:invalid |  52:invalid |  48:wfi     |  44:bne     |  40:slti    r5=1  BUS_LOAD  MEM[48] accepted 1
