                                                                            D-MEM Bus &
Cycle:      IF      |     ID      |     EX      |     MEM     |     WB      Reg Result
    0:    4:addi    |   0:-       |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    1:    8:lui     |   4:addi    |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[0] accepted 1
    2:   12:addi    |   8:lui     |   4:addi    |   0:-       |   0:-       BUS_LOAD  MEM[8] accepted 1
    3:   16:jal     |  12:addi    |   8:lui     |   4:addi    |   0:-       BUS_LOAD  MEM[8] accepted 1
    4:   20:addi    |  16:jal     |  12:addi    |   8:lui     |   4:addi    r8=1  BUS_LOAD  MEM[16] accepted 1
    5:   24:sw      |  20:addi    |  16:jal     |  12:addi    |   8:lui     r31=4096  BUS_LOAD  MEM[16] accepted 1
    6:   28:wfi     |  24:sw      |  20:addi    |  16:jal     |  12:addi    r17=14  BUS_LOAD  MEM[24] accepted 1
    7:   32:beq     |   0:-       |   0:-       |   0:-       |  16:jal     r27=16  BUS_LOAD  MEM[24] accepted 1
    8:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
    9:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   10:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   11:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   12:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   13:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=4064  BUS_STORE MEM[4088] = 16 accepted 1
   14:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[4064] = 14 accepted 1
   15:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   16:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=13  BUS_LOAD  MEM[56] accepted 1
   17:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   18:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   19:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   20:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   21:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   22:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   23:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   24:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   25:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=4032  BUS_STORE MEM[4056] = 56 accepted 1
   26:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[4032] = 13 accepted 1
   27:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   28:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=12  BUS_LOAD  MEM[56] accepted 1
   29:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   30:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   31:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   32:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   33:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   34:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   35:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   36:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   37:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=4000  BUS_STORE MEM[4024] = 56 accepted 1
   38:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[4000] = 12 accepted 1
   39:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   40:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=11  BUS_LOAD  MEM[56] accepted 1
   41:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   42:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   43:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   44:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   45:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   46:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   47:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   48:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   49:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3968  BUS_STORE MEM[3992] = 56 accepted 1
   50:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3968] = 11 accepted 1
   51:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   52:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=10  BUS_LOAD  MEM[56] accepted 1
   53:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   54:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   55:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   56:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   57:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   58:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   59:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   60:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   61:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3936  BUS_STORE MEM[3960] = 56 accepted 1
   62:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3936] = 10 accepted 1
   63:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   64:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=9  BUS_LOAD  MEM[56] accepted 1
   65:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   66:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   67:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   68:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   69:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   70:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   71:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   72:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   73:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3904  BUS_STORE MEM[3928] = 56 accepted 1
   74:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3904] = 9 accepted 1
   75:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   76:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=8  BUS_LOAD  MEM[56] accepted 1
   77:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   78:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   79:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   80:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   81:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   82:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   83:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   84:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   85:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3872  BUS_STORE MEM[3896] = 56 accepted 1
   86:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3872] = 8 accepted 1
   87:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
   88:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=7  BUS_LOAD  MEM[56] accepted 1
   89:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
   90:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
   91:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
   92:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   93:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
   94:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
   95:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
   96:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
   97:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3840  BUS_STORE MEM[3864] = 56 accepted 1
   98:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3840] = 7 accepted 1
   99:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
  100:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=6  BUS_LOAD  MEM[56] accepted 1
  101:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  102:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
  103:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
  104:   36:beq     |  32:beq     |   0:-       |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  105:   40:addi    |  36:beq     |  32:beq     |   0:-       |   0:-       BUS_LOAD  MEM[32] accepted 1
  106:   44:sw      |  40:addi    |  36:beq     |  32:beq     |   0:-       BUS_LOAD  MEM[40] accepted 1
  107:   48:sw      |  44:sw      |  40:addi    |  36:beq     |  32:beq     BUS_LOAD  MEM[40] accepted 1
  108:   52:addi    |  48:sw      |  44:sw      |  40:addi    |  36:beq     BUS_LOAD  MEM[48] accepted 1
  109:   56:-       |  52:addi    |  48:sw      |  44:sw      |  40:addi    r31=3808  BUS_STORE MEM[3832] = 56 accepted 1
  110:   56:-       |  56:-       |  52:addi    |  48:sw      |  44:sw      BUS_STORE MEM[3808] = 6 accepted 1
  111:   56:jal     |  56:-       |  56:-       |  52:addi    |  48:sw      BUS_LOAD  MEM[48] accepted 1
  112:   60:sw      |  56:jal     |  56:-       |  56:-       |  52:addi    r17=5  BUS_LOAD  MEM[56] accepted 1
  113:   64:lw      |  60:sw      |  56:jal     |  56:-       |  56:-       BUS_LOAD  MEM[56] accepted 1
  114:   68:addi    |  64:lw      |  60:sw      |  56:jal     |  56:-       BUS_LOAD  MEM[64] accepted 1
  115:   32:beq     |   0:-       |   0:-       |   0:-       |  56:jal     r27=56  BUS_LOAD  MEM[24] accepted 1
